SID,Nombre,Latitud,Longitud,Elevacion,geometry
685,Anakena,-34.304722221999995,-70.771666667,397.0,POINT (-70.77166666700001 -34.304722222)
620,Errazuriz,-32.898611111,-71.351666667,114.0,POINT (-71.351666667 -32.898611111)
678,Conosur,-34.715555556,-71.03861111100001,310.0,POINT (-71.03861111100001 -34.715555556)
849,Aresti,-35.151388889,-71.29805555600001,259.0,POINT (-71.29805555600001 -35.151388889)
667,San Pedro-El Tránsito,-33.771111110999996,-70.685555556,455.0,POINT (-70.685555556 -33.771111111)
709,Lapostolle-Apalta,-34.593611111,-71.302222222,240.0,POINT (-71.302222222 -34.593611111)
882,El Aromo,-35.535555556,-71.598333333,155.0,POINT (-71.598333333 -35.535555556)
577,Garcés Silva,-33.681388889000004,-71.49583333300001,191.0,POINT (-71.49583333300001 -33.681388889)
693,La Rosa – Oeste,-34.325,-71.239444444,159.0,POINT (-71.239444444 -34.325)
582,Emiliana,-33.361388889000004,-71.309166667,310.0,POINT (-71.309166667 -33.361388889)
867,Casas Patronales,-35.491666667,-71.445555556,209.0,POINT (-71.445555556 -35.491666667)
635,De Martino,-33.581944444,-70.880555556,390.0,POINT (-70.880555556 -33.581944444)
715,Montes,-34.340555556,-71.65222222199999,173.0,POINT (-71.65222222199999 -34.340555556)
652,Chocalán ,-33.760555556,-71.225555556,187.0,POINT (-71.225555556 -33.760555556)
632,Casa Rivas (N.C.),-33.506388889,-71.060833333,180.0,POINT (-71.06083333300001 -33.506388889)
1120,Pan de Azúcar,-30.07465,-71.23895,129.0,POINT (-71.23895 -30.07465)
644,Pérez Cruz,-33.843055555999996,-70.619722222,471.0,POINT (-70.61972222199999 -33.843055556)
83,Elqui en Algarrobal,-29.9953,-70.5867,780.0,POINT (-70.58669999999999 -29.9953)
645,Santa Rita,-33.718611111,-70.669166667,525.0,POINT (-70.669166667 -33.718611111)
396,Glaciar Tindall,-51.1158,-73.2825,333.0,POINT (-73.2825 -51.1158)
875,Torres,-35.567222222,-72.29,428.0,POINT (-72.29000000000001 -35.567222222)
132,Maipo en El Manzano,-33.5939,-70.3792,918.0,POINT (-70.3792 -33.5939)
84,Grande en Las Ramadas,-31.0117,-70.5811,1387.0,POINT (-70.58110000000001 -31.0117)
708,Ventisquero-Apalta,-34.608055556,-71.246944444,259.0,POINT (-71.24694444399999 -34.608055556)
859,Viñedos Puertas,-34.986944444,-71.279722222,191.0,POINT (-71.279722222 -34.986944444)
905,San Pedro,-33.768888889,-70.929722222,329.0,POINT (-70.929722222 -33.768888889)
643,Morandé - Romeral,-33.706388889,-70.772777778,478.0,POINT (-70.77277777800001 -33.706388889)
695,Ventisquero-Peralillo,-34.394444444,-71.445555556,136.0,POINT (-71.445555556 -34.394444444)
583,Ventisquero-Tapihue,-33.300555556,-71.283333333,338.0,POINT (-71.283333333 -33.300555556)
694,Hacienda Araucano-Lolol,-34.727222221999995,-71.588888889,128.0,POINT (-71.588888889 -34.72722222199999)
613,Casa Marín,-33.524444444000004,-71.54555555600001,26.0,POINT (-71.54555555600001 -33.524444444)
701,Luis Felipe Edwards,-34.693055556,-71.15694444399999,228.0,POINT (-71.15694444399999 -34.693055556)
666,Santa Carolina,-33.599722222,-70.649722222,621.0,POINT (-70.64972222199999 -33.599722222)
580,Luis Felipe Edwards-Leyda,-33.669000000000004,-71.536,140.0,POINT (-71.536 -33.669)
318,Río Calle Calle en Pupunahue,-39.8044,-72.9025,107.0,POINT (-72.9025 -39.8044)
435,Robalo Alto,-54.9769,-67.6744,313.0,POINT (-67.67440000000001 -54.9769)
934,Copiapó en La Puerta,-27.8044,-70.1269,902.0,POINT (-70.12690000000001 -27.8044)
395,Lago Grey,-51.1114,-73.13,45.0,POINT (-73.13 -51.1114)
433,Lago Deseado,-54.3378,-68.8242,621.0,POINT (-68.8242 -54.3378)
431,Pampa Huanaco,-54.0497,-68.7997,156.0,POINT (-68.7997 -54.0497)
123,Glaciar San Franciscoen Aguas Panimavida,-33.8053,-70.07,2228.0,POINT (-70.06999999999999 -33.8053)
150,Río Maipo en Cabimbao,-33.7219,-71.555,25.0,POINT (-71.55500000000001 -33.7219)
224,Embalse Bullileo,-36.2972,-71.4083,687.0,POINT (-71.4083 -36.2972)
138,Estero Yerba Loca en Piedra Carvajal,-33.2214,-70.2736,3254.0,POINT (-70.2736 -33.2214)
427,Río Condor,-53.9964,-70.0781,10.0,POINT (-70.07810000000001 -53.9964)
402,Cordillera Riesco,-52.8425,-71.7642,457.0,POINT (-71.7642 -52.8425)
125,Río Maipo en San Alfonso,-33.7347,-70.3008,1091.0,POINT (-70.3008 -33.7347)
5,Colchane,-19.2764,-68.6378,3717.0,POINT (-68.6378 -19.2764)
335,Lago Chapo,-41.4297,-72.5764,251.0,POINT (-72.57640000000001 -41.4297)
102,Río Sobrante en Piñadero,-32.2253,-70.7119,1333.0,POINT (-70.7119 -32.2253)
1139,Rapel,-30.7228,-70.77249,863.0,POINT (-70.77249 -30.7228)
1136,Las Cardas,-30.25145,-71.2569,280.0,POINT (-71.2569 -30.25145)
294,Curanilahue en Curanilahue,-37.4833,-73.3369,170.0,POINT (-73.3369 -37.4833)
